Production
0
0
0
0
0
0
0
0
0
123.89
1858.6
302.06
292.82
186.57
44.473
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
152.92
198.19
243.38
713.76
161.87
98.804
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
82.462
128.46
274.16
718.29
127.12
81.651
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
117.39
271.29
1553.3
363.1
377.42
118.53
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1284.5
1175.8
3994.9
3250
2691.8
511.15
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
589.21
318.19
307.96
881.19
249.68
45.905
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
99.65
1286.6
379.37
108.26
288.96
216.53
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
110.2
248.32
941.94
577.67
136.44
81.77
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
188.12
205.86
652.91
428.47
970.11
116.04
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
178
559.04
133.66
840.19
1206
214.17
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
488
249.57
1848.2
1679.3
1941.8
222.43
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
80.004
142.44
2817.7
2838.3
284.63
17.789
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1000.7
3574
3772.9
1362.2
267.79
187.29
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
99.679
290.91
327.56
364.16
835.57
218.12
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
136.4
319.2
191.63
91.015
208.91
338.86
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
63.525
27.09
432.16
856.6
565.57
152.65
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1259.2
1815.2
1032.5
416.11
307.02
180.28
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1100.7
1208.1
1509.3
783.94
151.89
116.01
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1268.1
1083.2
2446.8
1074.3
221.84
220.84
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2842.2
4680.3
4180.3
1917.2
501.31
114.6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
268.91
448.05
1141.8
4519.4
4897.4
2806.3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
215.44
314.1
394.87
928.28
420.67
232.57
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
88.867
26.668
53.336
124.41
35.504
8.8629
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
18.134
144.61
289.21
395.57
331.46
629.21
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
71.857
2210
3399.7
1862.7
3648.9
2918.2
2033.3
124.82
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
123.6
1678.4
2815.5
3519.2
3489.6
2176.7
1930.1
105.94
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
152.56
2679
4806.1
6099.8
6584.2
5784.2
3901.5
188.51
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
81.15
497.45
397.08
586.6
676.45
1296.5
892.18
72.133
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
179.22
498.22
4422.5
1907.8
5010.5
5191.8
3323.7
151.8
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
169.25
1419.5
3927.7
3978.2
657.03
1440.4
1031.4
221.57
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
205.68
1886.3
3442.8
5181.7
5783.7
5469.5
2760
850.22
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
35.95
143.71
242.45
278.2
107.63
143.42
71.666
53.734
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
44.951
976.96
557.55
710.43
2286.6
484.18
340.01
116.22
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
17.986
44.964
8.9901
350.61
278.53
341.22
125.56
35.876
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
178.37
1151.3
1543.1
695.65
1452.5
660.17
196.21
98.016
